pipeline_name,Pipeline,procedure_name,Procedure,parameter_name,Parameter,strain_accession_id,Strain,genetic_background,gene_symbol,Gene,allele_symbol,Allele,Center,Genotype,Assay.Date,date_of_birth,age_in_weeks,developmental_stage_name,Zygosity,Sex,biological_sample_group,external_sample_id,Metadata,MetadataGroup,Weight,production_center,Value
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-15,14,postnatal,homozygote,female,experimental,84523,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,19.2,WTSI,0.739062
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,male,experimental,84540,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,24.5,WTSI,0.720816
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,male,experimental,19639,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,25.1,WTSI,0.809562
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,female,experimental,19603,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,17.1,WTSI,0.736842
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,male,experimental,19674,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,22.2,WTSI,0.753604
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,male,experimental,19701,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,25.4,WTSI,0.790945
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,female,experimental,19670,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,17.2,WTSI,0.752326
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,female,experimental,84490,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,19.2,WTSI,0.659375
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,male,experimental,84551,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,24.0,WTSI,0.800417
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-20,2007-12-17,13,postnatal,homozygote,male,experimental,19626,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,26.6,WTSI,0.808271
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-20,2007-12-17,13,postnatal,homozygote,female,experimental,19647,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,18.5,WTSI,0.776216
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,female,experimental,84510,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,18.8,WTSI,0.739894
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-20,2007-12-12,14,postnatal,homozygote,male,experimental,19665,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,25.0,WTSI,0.8068
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-20,2007-12-17,13,postnatal,homozygote,male,experimental,19643,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,20.9,WTSI,0.827273
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,male,experimental,19640,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,21.4,WTSI,0.796262
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,male,experimental,84527,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,27.4,WTSI,0.660219
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,female,experimental,84515,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,14.8,WTSI,0.809459
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-20,2007-12-16,13,postnatal,homozygote,female,experimental,19696,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,18.4,WTSI,0.820109
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-20,2007-12-12,14,postnatal,homozygote,male,experimental,19663,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,24.3,WTSI,0.77037
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-20,2007-12-12,14,postnatal,homozygote,female,experimental,19622,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,21.2,WTSI,0.730189
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,male,experimental,84481,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,25.7,WTSI,0.785214
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,female,experimental,84664,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,23.3,WTSI,0.703433
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,female,experimental,19636,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,18.8,WTSI,0.726064
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,male,experimental,19680,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,20.7,WTSI,0.788889
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-20,2007-12-12,14,postnatal,homozygote,male,experimental,19664,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,22.2,WTSI,0.795495
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,female,experimental,84558,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,18.7,WTSI,0.725134
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-05-01,2008-01-24,14,postnatal,homozygote,female,control,38665,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,24.0,WTSI,0.676667
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-03-05,2007-11-25,14,postnatal,homozygote,male,control,18122,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,32.9,WTSI,0.664742
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-04-28,2008-01-20,14,postnatal,homozygote,female,control,33214,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,22.6,WTSI,0.735398
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-05-02,2008-01-26,13,postnatal,homozygote,male,control,38651,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,32.1,WTSI,0.651402
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-03-20,2007-12-17,13,postnatal,homozygote,male,control,19496,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,31.7,WTSI,0.699685
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-05-01,2008-01-24,14,postnatal,homozygote,female,control,38666,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,22.6,WTSI,0.69823
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-02-19,2007-11-11,14,postnatal,homozygote,female,control,15222,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,23.8,WTSI,0.682773
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-05-02,2008-01-26,13,postnatal,homozygote,female,control,38658,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,26.2,WTSI,0.615267
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-02-19,2007-11-12,14,postnatal,homozygote,male,control,15213,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,25.9,WTSI,0.695753
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-04-28,2008-01-20,14,postnatal,homozygote,male,control,33196,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,34.3,WTSI,0.669388
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-02-26,2007-11-18,14,postnatal,homozygote,female,control,16791,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,24.8,WTSI,0.656048
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-04-28,2008-01-20,14,postnatal,homozygote,female,control,33217,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,25.6,WTSI,0.663281
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-04-28,2008-01-20,14,postnatal,homozygote,male,control,33195,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,34.8,WTSI,0.643678
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-03-18,2007-12-17,13,postnatal,homozygote,male,control,19493,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,36.8,WTSI,0.66875
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-10-23,2008-07-18,13,postnatal,homozygote,male,control,84640,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,34.5,WTSI,0.606957
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,-,-,-,-,WTSI,+/+,2008-04-14,2008-01-07,14,postnatal,homozygote,male,control,29975,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,33.6,WTSI,0.660417
